Country Name,Value,Year,Source
"Latvia",23409.0845154775,2024,PerCapita
"Least developed countries: UN classification",1293.40100322932,2024,PerCapita
"Lebanon",3477.72489842684,2023,PerCapita
"Lesotho",971.90771824829,2024,PerCapita
"Liberia",851.497723870206,2024,PerCapita
"Libya",6569.16408678648,2024,PerCapita
"Liechtenstein",206780.590353385,2023,PerCapita
"Lithuania",29384.0189598663,2024,PerCapita
"Low & middle income",6002.45120765259,2024,PerCapita
"Low income",751.322764042233,2024,PerCapita
"Lower middle income",2544.49245457752,2024,PerCapita
"Luxembourg",137781.681659123,2024,PerCapita
"Macao",72004.7437020733,2024,PerCapita
"Macedonia",9291.85661671864,2024,PerCapita
"Madagascar",544.987501003384,2024,PerCapita
"Malawi",522.570393642547,2024,PerCapita
"Malaysia",11874.4273684245,2024,PerCapita
"Maldives",13379.3513577224,2024,PerCapita
"Mali",1094.61949265799,2024,PerCapita
"Malta",43898.5781808597,2024,PerCapita
"Marshall Islands",7726.33668877794,2024,PerCapita
"Mauritania",2110.12036938187,2024,PerCapita
"Mauritius",11990.7798944837,2024,PerCapita
"Mexico",14185.7812248529,2024,PerCapita
"Micronesia",4166.00476748564,2024,PerCapita
"Middle East, North Africa, Afghanistan & Pakistan",6265.44445247452,2024,PerCapita
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2971.05462651558,2024,PerCapita
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2973.77496155262,2024,PerCapita
"Middle income",6554.37054933497,2024,PerCapita
"Moldova",7576.19589413326,2024,PerCapita
"Monaco",288001.433369041,2024,PerCapita
"Mongolia",6750.6301157724,2024,PerCapita
"Montenegro",13263.3281277699,2024,PerCapita
"Morocco",4153.1943359375,2024,PerCapita
"Mozambique",656.776824637306,2024,PerCapita
"Myanmar",1359.05001560107,2024,PerCapita
"Namibia",4413.12752211572,2024,PerCapita
"Nauru",13609.158837552,2024,PerCapita
"Nepal",1447.31004458428,2024,PerCapita
"Netherlands",67520.4218956281,2024,PerCapita
"New Caledonia",29213.1923192946,2024,PerCapita
"New Zealand",49205.1792146792,2024,PerCapita
"Nicaragua",2847.53966339498,2024,PerCapita
"Niger",735.270255787226,2024,PerCapita
"Nigeria",1084.16041805436,2024,PerCapita
"North America",81275.8436781762,2024,PerCapita
"Northern Mariana Islands",23785.754590043,2022,PerCapita
"Norway",86785.4334489176,2024,PerCapita
"OECD members",48322.164420487,2024,PerCapita
"Oman",20285.2272897377,2024,PerCapita
"Other small states",16094.1266173126,2024,PerCapita
"Pacific island small states",4453.58561280276,2024,PerCapita
"Pakistan",1478.77277977996,2024,PerCapita
"Palau",15610.8231931032,2023,PerCapita
"Panama",19161.2188501596,2024,PerCapita
"Papua New Guinea",3006.70564478923,2024,PerCapita
"Paraguay",6416.09708970845,2024,PerCapita
"Peru",8452.37167056621,2024,PerCapita
"Philippines",3984.8315387656,2024,PerCapita
"Poland",25103.565661423,2024,PerCapita
"Portugal",29292.242104753,2024,PerCapita
"Post-demographic dividend",55644.314789934,2024,PerCapita
"Pre-demographic dividend",1366.06577255622,2024,PerCapita
"Puerto Rico",129.192,2025,IMF
"Puerto Rico (US)",39343.7154660139,2024,PerCapita
"Qatar",76688.6941743178,2024,PerCapita
"Republic of Serbia",13679.2065983557,2024,PerCapita
"Republic of the Congo",2482.2489948456,2024,PerCapita
"Romania",20080.2096215595,2024,PerCapita
"Russia",14889.0185546875,2024,PerCapita
"Rwanda",999.65456165547,2024,PerCapita
"Saint Lucia",2.77,2025,IMF
"Samoa",5392.87761915762,2024,PerCapita
"San Marino",59879.7173015651,2023,PerCapita
"São Tomé and Príncipe",3490.56883486557,2024,PerCapita
"Saudi Arabia",35121.6628687742,2024,PerCapita
"Senegal",1773.21829923448,2024,PerCapita
"Seychelles",17858.8226383978,2024,PerCapita
"Sierra Leone",806.654650417726,2024,PerCapita
"Singapore",90674.066632628,2024,PerCapita
"Sint Maarten (Dutch part)",41472.5874498583,2024,PerCapita
"Slovakia",25992.6748502048,2024,PerCapita
"Slovenia",34301.0318686594,2024,PerCapita
"Small states",15383.3425638674,2024,PerCapita
"Solomon Islands",1933.55538435227,2024,PerCapita
"Somalia",13.912,2025,IMF
"Somalia, Fed. Rep.",629.538899449007,2024,PerCapita
"South Africa",6267.186814093,2024,PerCapita
"South Asia",2690.07883749003,2024,PerCapita
"South Asia (IDA & IBRD)",2690.07883749003,2024,PerCapita
"South Korea",36238.639908315,2024,PerCapita
"South Sudan",1080.14718624765,2015,PerCapita
"Spain",35326.7683069278,2024,PerCapita
"Sri Lanka",4515.56787322732,2024,PerCapita
"St. Kitts and Nevis",23960.6534357084,2024,PerCapita
"St. Lucia",14181.6303351598,2024,PerCapita
"St. Martin (French part)",21668.3776525323,2021,PerCapita
"St. Vincent and the Grenadines",11501.2265187188,2024,PerCapita
"Sub-Saharan Africa",1532.92763550207,2024,PerCapita
"Sub-Saharan Africa (excluding high income)",1576.69166875191,2024,PerCapita
"Sub-Saharan Africa (IDA & IBRD countries)",1532.92763550207,2024,PerCapita
"Sudan",984.607666015625,2024,PerCapita
"Suriname",6961.78955961526,2024,PerCapita
"Swaziland",3909.55892378182,2024,PerCapita
"Sweden",57117.4877440616,2024,PerCapita
"Switzerland",103998.186685604,2024,PerCapita
"Syrian Arab Republic",1051.67149587463,2022,PerCapita
"Taiwan",971.448,2025,IMF
"Tajikistan",1341.20229027672,2024,PerCapita
"Thailand",7346.62022142185,2024,PerCapita
"The Bahamas",39455.4466548546,2024,PerCapita
"Togo",1119.38160509429,2024,PerCapita
"Tonga",5651.59373063157,2023,PerCapita
"Trinidad and Tobago",18733.4110406494,2024,PerCapita
"Tunisia",4181.13789301228,2024,PerCapita
"Turkey",15892.7157287241,2024,PerCapita
"Turkmenistan",6856.65802730208,2024,PerCapita
"Turks and Caicos Islands",37506.7798431288,2024,PerCapita
"Tuvalu",6344.7750188689,2023,PerCapita
"Uganda",1077.91278452817,2024,PerCapita
"Ukraine",5389.47314453125,2024,PerCapita
"United Arab Emirates",50273.5060469837,2024,PerCapita
"United Kingdom",53246.3676145108,2024,PerCapita
"United Republic of Tanzania",1186.71691894531,2024,PerCapita
"United States of America",84534.0407841548,2024,PerCapita
"Upper middle income",10996.101696107,2024,PerCapita
"Uruguay",23906.5133029408,2024,PerCapita
"Uzbekistan",3161.70010632875,2024,PerCapita
"Vanuatu",3410.77023167097,2024,PerCapita
"Venezuela",4217.59102643391,2024,PerCapita
"Viet Nam",4717.29028732449,2024,PerCapita
"Virgin Islands (U.S.)",44320.909185774,2022,PerCapita
"West Bank",2592.30591217647,2024,PerCapita
"World",13631.2043097215,2024,PerCapita
"Yemen",633.887202451545,2018,PerCapita
"Zambia",1187.10943350064,2024,PerCapita
"Zimbabwe",2497.20332208763,2024,PerCapita
